FeatureIndex	FileName	MSLevel	IsDecoy	MonoisotopicMass	AverageMass	MassCount	StartRetentionTime	EndRetentionTime	RetentionTimeDuration	ApexRetentionTime	SumIntensity	MaxIntensity	FeatureQuantity	MinCharge	MaxCharge	ChargeCount	IsotopeCosineScore	Qscore2D	PerChargeIntensity	PerIsotopeIntensity
211	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	4294.200821	4296.899919	2	66.3256	66.5828	15.4294	66.3256	59505.2	38700.8	459065	5	8	4	0.887376	0.325764320696162	19652.7;19048.1;9258.17;11546.2	0;2915.32;15853.8;18264.5;15826.9;3527.01;3117.67
212	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	5591.525350	5594.980007	2	71.0841	71.4053	19.2753	71.4053	75335.5	38357.4	726058	6	8	3	0.896646	0.51396032070371	36978.1;12195.4;26162	0;0;17774.7;11460.7;14155.9;18564.1;9513.22;3866.79
213	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	3966.356001	3968.789604	2	67.4823	67.9324	27.0031	67.4823	48301.7	38353.3	652148	4	6	3	0.872294	0.627837558719623	16260.2;22093.2;9948.4	0;7443.34;11439.7;20228.2;9190.41
214	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	2971.087344	2972.907851	2	66.0689	66.8403	46.2854	66.0689	63939.4	38308.4	1.47973e+06	3	4	2	0.890247	0.685890646093776	52925.2;11014.3	0;16097.5;18795.1;14700.3;6654.19;7692.28
215	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	5730.413669	5733.968806	2	68.9614	69.6043	38.5763	69.6043	71084.7	37528.5	1.37109e+06	5	8	4	0.894117	0.550433158831026	16049.4;21479.1;9047.68;24508.4	0;0;8249.01;12479.4;19943;13593.2;8909.83;3336.29;4573.86
216	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	2867.659925	2869.427804	2	67.4823	67.868	23.14	67.868	62543.5	37266.9	723629	2	4	3	0.865458	0.419601121889004	10807.3;23330.8;28405.4	3258.39;15889.5;17408.5;21899.2;0;4672.74;0;2673.53
217	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	4631.574283	4634.461539	2	68.8328	69.7976	57.8915	69.7976	60705.5	37164.6	1.75717e+06	5	7	3	0.860441	0.481751023544237	44216;6080.11;10409.4	0;0;13289.1;18057.4;12923.3;11458.1;0;4977.57
218	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	6057.959663	6061.695495	2	69.6043	70.8269	73.356	69.6043	69047.7	36922.9	2.53253e+06	6	7	2	0.897438	0.525997591645942	16448.9;52598.8	0;0;7302.76;16750;17524.8;12247.9;15222.3
219	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	3930.779401	3933.162854	2	70.0548	71.2126	69.4674	71.2126	69701.4	36919.2	2.42099e+06	4	5	2	0.890983	0.790559417725361	36919.2;32782.2	6398.56;4100.81;19896.8;23215.7;14070.9;4887.76;3529.41
220	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	2030.208354	2031.476875	2	68.7684	69.1542	23.1504	68.7684	68440.8	36909.3	792216	3	4	2	0.879056	0.624079319270464	64406.3;4034.41	9473.38;26277.9;18971.3;7649.83;15541.8
221	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	4736.580044	4739.542023	2	66.3256	66.5828	15.4294	66.5828	71067.7	36586.4	548266	4	7	4	0.863163	0.441041973289634	7231.53;17158.6;12196.3;34481.3	0;0;18100.9;17008.9;14135;4894.08;12487.6;4441.19
222	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	4544.734518	4547.574073	2	67.611	68.7042	65.5911	68.7042	63571.4	36486.1	2.08486e+06	5	7	3	0.896617	0.287244670516051	33875.1;18982.2;10714.1	0;6789.75;11868.8;17367.1;15910.8;0;7153.58;4481.36
223	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	4623.850508	4626.737764	2	68.7042	69.6043	54.01	68.7042	56189.1	36238.2	1.51739e+06	5	6	2	0.881593	0.318531091082065	34685.6;21503.5	0;3890.29;11125.8;13247.4;15219.9;6547.11;0;0;0;6158.62
224	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	2659.095776	2660.737163	2	69.7976	70.119	19.2846	70.119	57969.2	35926.3	558957	2	3	2	0.86955	0.649563734669429	18797;39172.3	0;19910.4;15284.7;14297.7;8476.45
225	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	5114.873029	5118.064401	3	67.8035	69.0257	73.3346	69.0257	83911.4	35656.8	2.04165e+06	6	7	2	0.876849	0.422315042291272	47986;35925.3	0;0;15414.3;14521.5;21025.1;14755.7;6650.93;6895.93;0;0;4647.94
