Index	FileName	ScanNum	FeatureIndex	TargetDecoyType	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	Qvalue
44	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	0	65.023683	42	9447.186283	9441.254973	544027	6	6	5	0.854997	0.854997	1	24.4543	24.4543	1.59621	6	1575.053101	1575.717529	0.501841	0.501841	0.913078
45	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	740.660679	740.251209	66074.6	1	1	2	0.936462	0.936462	1	0.300442	0.300442	1.06968	1	741.257751	742.205994	0.778935	0.778935	0
46	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	1332.927807	1332.193865	108299	1	1	2	0.951719	0.951719	1	0.427608	0.427608	0.549111	1	1333.200684	1334.148804	0.844699	0.844699	0
47	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	0	65.086594	61	1339.334675	1338.464871	90560.8	1	1	2	0.957056	0.957056	1	0.25586	0.25586	1.00202	1	1339.473267	1340.473022	0.845376	0.845376	0.833991
48	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	1357.724515	1356.901125	88172.3	2	2	2	0.952848	0.952848	1	0.199547	29.5649	0.673469	2	679.457397	679.931641	0.804661	0.804661	0
49	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	1357.724515	1356.901125	88172.3	2	2	2	0.952848	0.952848	1	0.199547	29.5649	0.673469	2	679.457397	679.931641	0.804661	0.804661	0
50	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	1357.724515	1356.901125	88172.3	2	2	2	0.952848	0.952848	1	0.199547	29.5649	0.673469	2	679.457397	679.931641	0.804661	0.804661	0
51	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	1360.222929	1359.399539	87424.1	1	1	2	0.950207	0.950207	1	0.489895	0.489895	0.269099	1	1360.407227	1361.353149	0.848280	0.848280	0
52	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	1360.222929	1359.399539	87424.1	1	1	2	0.950207	0.950207	1	0.489895	0.489895	0.269099	1	1360.407227	1361.353149	0.848280	0.848280	0
53	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	1360.222929	1359.399539	87424.1	1	1	2	0.950207	0.950207	1	0.489895	0.489895	0.269099	1	1360.407227	1361.353149	0.848280	0.848280	0
