Index	FileName	ScanNum	FeatureIndex	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	
35	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	23	65.023683	57	9095.961297	9090.334693	4.50248e+06	7	8	22	0.957969	0.963716	1	111.762	80.2225	1.52789	8	1137.293213	1138.806885	0.924184	0.999921
36	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	1	65.023683	57	9110.973873	9105.347269	1.58136e+08	6	7	28	0.993791	0.994093	1	930.479	730.284	0.701446	7	1301.772583	1303.630981	0.977867	1.000000
37	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	5	65.023683	57	9130.966194	9125.325854	3.77648e+07	6	10	63	0.919884	0.914474	1	125.874	44.3886	0.930253	8	1141.675049	1143.300781	0.866134	0.879482
38	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	11	65.023683	57	9132.972520	9127.332179	1.68105e+07	6	7	26	0.970298	0.97675	1	227.551	180.893	0.735578	6	1522.234619	1524.066406	0.953986	0.998165
39	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	12	65.023683	57	9148.965221	9143.310704	1.37382e+07	6	7	28	0.968481	0.972822	1	214.216	154.021	1.09416	7	1307.198486	1309.052734	0.948865	1.000000
40	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	32	65.023683	57	9170.975461	9165.309216	1.49954e+06	6	6	11	0.902749	0.902749	1	20.2086	20.2086	1.25508	6	1528.727051	1530.398560	0.738985	0.990977
41	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	22	65.023683	57	9171.974789	9166.308543	4.6819e+06	6	7	25	0.896243	0.889623	1	40.537	33.1407	1.25476	7	1310.478882	1312.343872	0.737907	0.963705
42	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	43	65.023683	57	9192.959024	9187.292779	1.63841e+06	6	7	15	0.89207	0.807439	1	23.0829	16.3602	1.48433	6	1532.554443	1534.232422	0.667153	0.738968
43	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	3	65.023683	57	9209.002548	9203.324579	9.47963e+07	6	8	42	0.988308	0.991993	1	495.326	539.287	0.379045	8	1151.422119	1153.051758	0.973246	1.000000
44	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	4	65.023683	57	9210.008570	9204.330602	5.9127e+07	6	7	28	0.98886	0.987115	1	156.099	332.668	0.487498	7	1315.911621	1317.770996	0.964785	1.000000
45	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	10	65.023683	57	9231.004960	9225.310854	1.72104e+07	6	9	46	0.963511	0.973342	1	337.835	157.658	1.271	7	1318.911743	1320.770630	0.948342	0.998415
46	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	16	65.023683	57	9247.992108	9242.286295	8.81968e+06	6	7	28	0.924004	0.947023	1	98.6365	76.1823	1.19364	7	1321.336914	1323.195679	0.863446	0.999983
47	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	24	65.023683	57	9267.979115	9262.273301	4.52774e+06	6	8	31	0.880712	0.936847	1	68.3282	62.8692	1.73497	7	1324.188965	1326.048584	0.690447	0.988023
48	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	28	65.023683	57	9268.993884	9263.276369	3.85904e+06	6	7	24	0.916761	0.905266	1	73.15	39.8157	1.4643	7	1324.333984	1326.191284	0.826444	0.998639
49	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	45	65.023683	57	9270.008349	9264.290834	1.52583e+06	6	6	10	0.891814	0.891814	1	34.0771	34.0771	0.781673	6	1545.220825	1546.725220	0.729472	0.838455
50	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	9	65.023683	57	9307.046438	9301.303886	1.84198e+07	6	8	38	0.992377	0.991046	1	727.39	484.149	1.08724	8	1163.801025	1165.173706	0.974707	1.000000
51	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	20	65.023683	57	9329.123082	9323.284483	5.37287e+06	6	7	21	0.974338	0.97591	1	265.247	178.005	1.03813	6	1555.053833	1556.724731	0.956703	0.999989
52	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	27	65.023683	57	9346.109494	9340.259286	4.00276e+06	6	7	24	0.905356	0.94154	1	65.2641	69.5412	0.771587	6	1558.052246	1559.888794	0.809704	0.949411
53	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	nan	65.023683	57	9367.102482	9361.252275	2.14617e+06	6	7	18	0.864202	0.860311	1	41.577	25.359	2.14843	6	1561.714966	1563.381592	0.556545	0.556545
54	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	31	65.023683	57	9405.180871	9399.277856	3.22525e+06	6	7	18	0.982385	0.947898	1	125.596	79.4745	1.34355	6	1568.053223	1569.720215	0.953426	0.999996
55	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	44	65.023683	57	9428.173923	9422.259017	1.54301e+06	6	7	12	0.957046	0.885853	1	51.8233	32.7535	1.85563	6	1571.721191	1572.718262	0.897694	0.948926
56	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	nan	65.023683	57	9437.454497	9431.539591	765347	7	8	8	0.861773	0.770115	1	16.1578	10.3747	1.60904	8	1180.448364	1180.953003	0.491712	0.491712
57	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3098	nan	65.023683	57	9447.178742	9441.247432	1.14532e+06	6	7	12	0.858181	0.854997	1	24.9637	24.4543	1.54658	6	1575.053101	1575.717529	0.520972	0.520972
58	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	777.522858	777.078598	85141.4	1	1	2	0.98615	0.98615	1	0.616186	0.616186	3.13519	1	778.087708	779.085205	0.877326	0.877326
59	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	858.663723	858.171636	65427.9	1	1	2	0.974394	0.974394	1	0.338605	0.338605	2.80413	1	859.176880	860.184082	0.851347	0.851347
60	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	928.395408	927.864858	85792.6	1	1	2	0.9599	0.9599	1	0.387277	0.387277	2.65965	1	928.869873	929.877197	0.813566	0.813566
61	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	1439.517015	1438.597708	96757	1	1	2	0.94798	0.94798	1	0.41141	0.41141	1.52574	1	1439.607056	1440.605103	0.807473	0.807473
62	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	1791.801712	1790.659804	103562	2	2	3	0.947679	0.947679	1	0.279602	0.279602	0.385714	2	896.336792	897.339478	0.834517	0.834517
63	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	1843.976212	1842.806551	94165.1	2	2	2	0.894156	0.894156	1	0.286837	0.286837	3.57235	2	922.406616	922.914429	0.477033	0.477033
64	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	1848.387099	1847.217438	75712.7	2	2	2	0.905682	0.905682	1	0.335347	0.335347	0.19798	2	924.616150	925.117004	0.684922	0.684922
65	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	1885.663273	1884.481912	135585	2	2	3	0.857994	0.857994	1	0.6883	0.6883	3.40149	2	943.247009	945.760620	0.316333	0.316333
66	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	1942.498427	1941.268917	100805	2	2	2	0.893882	0.893882	1	0.396164	0.396164	2.85746	2	971.638794	972.145508	0.512187	0.512187
67	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	1945.986875	1944.757364	113671	2	2	2	0.879452	0.879452	1	0.372026	0.372026	2.50766	2	973.382935	973.889038	0.451628	0.451628
68	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	2036.649801	2035.381280	92548.5	2	2	2	0.855567	0.855567	1	0.406017	0.406017	0.239571	2	1018.697754	1019.199463	0.431373	0.431373
69	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	2105.307705	2104.000389	217365	2	2	3	0.89862	0.89862	1	0.526032	0.526032	0.81122	2	1053.006470	1054.010132	0.631920	0.631920
70	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	2108.113265	2106.805949	92870.9	2	2	2	0.874027	0.874027	1	0.970914	0.970914	1.8519	2	1054.412231	1054.909546	0.470055	0.470055
71	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	2141.619850	2140.278603	81875.4	2	2	2	0.856858	0.856858	1	0.340776	0.340776	3.7031	2	1071.151489	1071.644775	0.290448	0.290448
72	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	2157.523073	2156.181827	58661.5	2	2	2	0.867114	0.867114	1	0.473981	0.473981	1.01787	2	1079.099365	1079.598267	0.458329	0.458329
73	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	2659.624758	2657.983371	205769	3	3	3	0.904409	0.904409	1	1.46169	1.46169	3.09553	3	886.998962	887.668762	0.582555	0.582555
74	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	2860.307841	2858.551433	110102	3	3	3	0.901298	0.901298	1	0.480482	0.480482	4.88244	3	953.863342	954.518372	0.461199	0.461199
75	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	61	2936.929465	2935.134139	127966	3	3	3	0.902004	0.902004	1	0.949156	0.949156	1.0798	3	979.384338	980.054871	0.647587	0.647587
