FeatureIndex	FileName	MSLevel	MonoisotopicMass	AverageMass	MassCount	StartRetentionTime	EndRetentionTime	RetentionTimeDuration	ApexRetentionTime	SumIntensity	MaxIntensity	FeatureQuantity	MinCharge	MaxCharge	ChargeCount	IsotopeCosineScore	Qscore2D	PerChargeIntensity	PerIsotopeIntensity
478	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8144.911434	8149.968010	3	65.3269	66.1716	50.6818	66.1716	178680	110784	1.95789e+06	6	8	3	0.950384	0.99874858544454	16735.3;90373;71571.2	554.458;3095.63;6792.05;21400.9;21221.5;28047.1;24894.1;26984.9;21113.2;14335.4;6157.56;3020.33;1616.84
479	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8991.302161	8996.868282	2	65.3269	65.3795	3.15503	65.3269	174081	101689	274615	7	8	2	0.957656	0.996481456326232	72392.3;101689	0;1097.66;6841.75;11757.3;18236.4;24211.9;28352.5;26025.3;20608.6;15700.7;7114.91;5247.23;4673.63;2233.49;1979.45
480	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	4414.626791	4417.399779	2	66.0433	66.1716	7.70038	66.1716	121865	84813.5	469205	5	5	1	0.920091	0.984678098702172	121865	719.204;8911.19;26403.6;36157.2;27352.2;13704.4;4017.14;1299.48;291.986;3728.28
481	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8282.953557	8288.084308	3	65.3269	66.1716	50.6818	65.3795	175779	82188.3	3.2827e+06	6	8	3	0.965715	0.993660234839079	82188.3;51562.3;42028.2	1700.09;2269.3;8498.34;19415.1;19955;29420.4;30560.1;23834.1;13797.7;11524.8;6451.59;6249.29;1355.3;2447.83
482	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8675.152156	8680.535322	2	65.3269	65.3795	3.15503	65.3795	97159.9	79451.9	153271	6	7	2	0.891543	0.977585678305684	19214.3;77945.6	3878.44;6554.13;0;7124.74;11400.2;12657.1;17404.8;14351.8;16534.3;11132.8
483	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8431.065673	8436.283880	2	65.3269	65.3795	3.15503	65.3795	92475.3	79212.3	145881	6	7	2	0.911957	0.982890341438933	79212.3;13263	0;0;3124.09;6020.61;10074.3;16571.2;12937.2;11634.7;7519.53;9636.2;7999.69;0;2681.33;4276.58
484	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8231.936382	8237.041379	2	65.3269	66.1716	50.6818	65.3269	93473.4	75363.7	2.3687e+06	6	7	2	0.953129	0.94008028058712	3044.82;90428.6	0;2380.84;4786.16;6486.89;12740.7;18319.7;12956.4;8789.69;10538;5495.91;4608.08;1791.57;2774.6;1134.6;670.314
485	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8013.822698	8018.814235	2	65.3269	65.3795	3.15503	65.3795	74384.7	66968.4	117343	6	7	2	0.948259	0.972668111370472	68274.7;6110.04	0;0;5531.5;5734.17;10936.6;14419.1;13211.8;11854.5;5580.18;4036.84;0;3080.05
486	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8492.087397	8497.369293	2	65.3269	65.3795	3.15503	65.3795	80857.8	66396.2	127555	6	7	2	0.926444	0.993392188436394	66396.2;14461.6	0;0;2702.67;7249.3;9107.58;11026.3;12108.8;13408.7;10961.2;5000.83;3951.98;5340.44
487	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8300.970729	8306.113140	2	66.1716	66.7501	34.711	66.1716	62133.3	57403.4	1.07835e+06	7	8	2	0.954882	0.985454329752105	7913.73;54219.5	0;1463.18;2944.09;3899.3;8678.89;11006.5;10040.2;7579.67;6119.45;5423.08;2046.44;1782.41;651.098;0;499.023
488	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8160.907955	8165.964531	3	65.3269	66.1716	50.6818	65.3795	98547	47732.9	1.42795e+06	6	8	3	0.905762	0.987570538933528	92318.1;2022.7;4206.15	0;2798.73;1494.07;4274.82;16934.4;17901.4;17881.5;18770.4;12634.7;3268.33;2588.56
489	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_fd.mzML	2	8354.019138	8359.189223	2	65.3795	66.1716	47.5268	65.3795	47480.4	34657.4	1.12829e+06	6	8	3	0.934074	0.820788551866636	34657.4;1248.78;11574.2	771.517;879.489;3302.66;4539.97;3998.31;11120.7;7740.75;7272.95;5988.88;1335.79;1300.92
