Index	FileName	ScanNum	FeatureIndex	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	PrecursorScanNum	PrecursorFeatureIndex	PrecursorMz	PrecursorIntensity	PrecursorCharge	PrecursorSNR	PrecursorMonoisotopicMass	PrecursorQscore	PrecursorQscore2D	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	
64	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	3517.628714	3515.470107	5749.5	2	2	30	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.855249	0.855249	1	0.4394	0.43728	0.929877	2	1758.732987	1762.762973	0.400105	0.400105
65	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	3649.306749	3647.081041	6106.34	2	2	28	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.898434	0.898434	1	0.361758	0.361758	1.27797	2	1824.543494	1828.570099	0.605767	0.605767
66	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	3778.677408	3776.380445	3976.27	2	2	26	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.851509	0.851509	1	1.06346	1.06346	1.50874	2	1889.181786	1893.219232	0.372314	0.372314
67	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	4133.921799	4131.324523	1509.85	2	2	20	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.892079	0.892079	1	0.277998	0.277998	2.30449	2	2066.666557	2070.682995	0.523881	0.523881
68	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	4272.792913	4270.107494	7381.39	2	3	54	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.93447	0.918064	1	1.35427	1.83062	0.843385	2	2136.044623	2140.077258	0.791161	0.791161
69	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	4410.886477	4408.125116	5834	2	3	48	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.911373	0.982176	1	1.36743	0.941356	1.21133	2	2205.053870	2209.086594	0.719032	0.719032
70	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	4701.638232	4698.690168	7755.91	3	3	33	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.859116	0.859116	1	0.432567	0.456858	0.678006	3	1567.230959	1570.251681	0.430524	0.430524
71	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	4858.150104	4855.112758	5214.34	3	3	31	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.854775	0.854775	1	0.328235	0.328235	0.583054	3	1619.370374	1622.395923	0.409362	0.409362
72	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	4859.526838	4856.489492	4137.67	3	4	35	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.85986	0.557726	1	0.148118	1.16641	2.28569	4	1215.627058	1216.642894	0.249351	0.249351
73	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	242	4913.874672	4910.811634	13558.7	2	3	40	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.873163	0.6686	1	0.926673	1.39458	1.23495	2	2457.912323	2458.432585	0.412528	0.412528
